Area,Rooms,Price
274,5,407577
116,2,163383
308,4,444979
299,4,426800
298,5,436624
159,2,202513
103,1,150360
154,2,232144
223,3,306287
165,3,254347
58,1,74258
252,5,396971
77,1,114810
385,5,538420
86,1,99269
272,4,399445
137,3,222342
233,4,333387
280,5,391466
260,5,376487
92,1,110882
101,1,127714
73,1,88708
280,4,402540
79,1,109747
172,3,236097
90,1,137624
124,2,169640
263,5,394696
183,2,242439
293,4,405600
204,4,304677
88,1,124191
199,4,297118
81,1,126531
143,2,218899
82,1,94153
94,1,143386
271,5,419614
332,5,480233
328,5,469776
208,3,279337
130,2,168542
290,4,404194
81,1,117018
330,5,467367
71,1,113297
315,5,450623
294,4,412068
129,2,183533
202,4,319052
322,4,428350
297,4,433344
147,2,188116
273,4,405143
185,4,295583
359,5,501922
300,4,418047
167,2,242733
267,4,392027
104,2,166385
146,2,208533
134,2,188808
187,3,274898
208,4,324320
240,3,347214
197,3,297547
249,4,339650
209,4,303200
216,3,311465
76,1,89700
325,5,480658
219,4,331247
147,2,199687
131,2,171455
371,5,514969
257,4,374527
270,5,404261
303,5,437793
338,5,470321
209,4,321400
284,4,391583
67,1,80975
365,5,496429
288,4,396861
53,1,81031
220,3,301104
164,3,239385
264,4,382167
207,3,285272
236,4,328327
380,5,536856
218,5,338419
103,1,156646
261,5,376355
195,4,276298
157,2,203440
189,3,264492
374,5,523059
321,5,476542
133,2,189826
159,2,205094
148,3,237578
62,1,87688
358,5,498601
166,3,235029
271,5,381470
92,1,143316
165,3,228113
283,4,411534
200,3,298071
275,5,385148
95,2,160497
191,3,273951
152,2,213862
116,2,175279
263,5,372735
144,2,215072
89,1,107065
258,5,403829
136,2,212439
251,5,365658
320,4,434275
315,5,458968
121,2,178133
296,4,416862
64,1,72897
154,2,204573
259,4,383705
233,5,343433
80,1,126732
187,4,269151
120,2,191358
242,5,353186
220,5,358545
357,5,521323
138,3,209994
137,2,191827
194,4,302565
234,4,359168
221,3,312448
389,5,558446
66,1,81891
189,4,301318
101,1,129448
104,2,165263
85,1,115433
292,5,442427
284,4,417802
167,2,215130
221,3,293278
68,1,81986
240,3,340822
108,1,145905
233,3,317407
153,2,210303
100,2,169133
240,4,329880
134,2,198492
69,1,80560
101,1,146113
112,2,174905
130,2,166088
132,2,204830
265,4,377001
160,3,225527
72,1,97177
160,3,228903
160,3,243858
350,5,506024
168,3,240724
310,4,416145
315,5,434278
82,1,115528
148,2,207817
248,5,386991
175,2,239711
244,5,349116
259,4,363524
173,3,261149
275,5,392903
149,2,223402
73,1,83451
200,3,299124
322,5,449822
87,1,123001
92,1,107945
352,5,511629
137,2,211682
97,1,130456
169,3,234373
89,1,140507
195,4,297637
81,1,100090
142,2,198033
297,4,424563
159,3,224695
76,1,93702
79,1,123339
335,5,465838
